INSERT INTO Return (return_id, return_car_date, additional_cost) VALUES
('RT00759', '2024-08-30', 0),
('RT00760', '2024-04-23', 50000),
('RT00761', '2024-03-13', 50000),
('RT00762', '2025-07-02', 50000),
('RT00763', '2024-12-09', 0),
('RT00764', '2024-05-14', 0),
('RT00765', '2024-09-04', 0),
('RT00766', '2024-10-04', 200000),
('RT00767', '2024-07-10', 0),
('RT00768', '2025-10-01', 0),
('RT00769', '2024-07-05', 0),
('RT00770', '2024-05-18', 0),
('RT00771', '2025-04-13', 0),
('RT00772', '2025-12-10', 150000),
('RT00773', '2025-10-19', 0),
('RT00774', '2025-03-01', 0),
('RT00775', '2024-09-11', 0),
('RT00776', '2025-09-05', 50000),
('RT00777', '2024-03-29', 0),
('RT00778', '2025-04-22', 0),
('RT00779', '2024-11-20', 0),
('RT00780', '2025-09-10', 0),
('RT00781', '2024-10-05', 0),
('RT00782', '2026-01-02', 0),
('RT00783', '2024-02-23', 50000),
('RT00784', '2024-04-06', 0),
('RT00785', '2025-12-28', 0),
('RT00786', '2024-08-11', 100000),
('RT00787', '2024-06-27', 0),
('RT00788', '2024-08-21', 0),
('RT00789', '2024-08-16', 100000),
('RT00790', '2024-09-16', 0),
('RT00791', '2024-01-20', 50000),
('RT00792', '2024-04-11', 0),
('RT00793', '2025-10-06', 0),
('RT00794', '2025-11-17', 0),
('RT00795', '2025-01-21', 0),
('RT00796', '2025-06-30', 0),
('RT00797', '2025-06-01', 200000),
('RT00798', '2025-08-16', 0),
('RT00799', '2024-04-25', 100000),
('RT00800', '2024-10-09', 0),
('RT00801', '2024-01-11', 0),
('RT00802', '2025-08-05', 0),
('RT00803', '2025-04-02', 0),
('RT00804', '2024-02-04', 200000),
('RT00805', '2025-05-01', 100000),
('RT00806', '2024-03-06', 200000),
('RT00807', '2025-09-27', 50000),
('RT00808', '2024-10-29', 0),
('RT00809', '2024-09-02', 150000),
('RT00810', '2025-08-23', 200000),
('RT00811', '2025-10-24', 0),
('RT00812', '2024-09-28', 100000),
('RT00813', '2024-01-30', 0),
('RT00814', '2025-11-21', 0),
('RT00815', '2024-03-28', 0),
('RT00816', '2025-09-29', 200000),
('RT00817', '2024-10-23', 0),
('RT00818', '2024-11-11', 150000),
('RT00819', '2024-06-10', 50000),
('RT00820', '2024-10-05', 0),
('RT00821', '2024-09-13', 0),
('RT00822', '2025-07-20', 150000),
('RT00823', '2025-12-27', 50000),
('RT00824', '2025-11-09', 200000),
('RT00825', '2024-07-12', 0),
('RT00826', '2025-09-01', 0),
('RT00827', '2025-01-08', 100000),
('RT00828', '2025-04-10', 200000),
('RT00829', '2025-12-18', 0),
('RT00830', '2025-05-24', 0),
('RT00831', '2025-02-14', 100000),
('RT00832', '2025-07-19', 50000),
('RT00833', '2024-04-03', 0),
('RT00834', '2025-07-06', 0),
('RT00835', '2025-11-22', 0),
('RT00836', '2024-09-28', 0),
('RT00837', '2024-05-29', 150000),
('RT00838', '2024-04-28', 0),
('RT00839', '2025-09-01', 0),
('RT00840', '2024-09-13', 100000),
('RT00841', '2025-05-24', 50000),
('RT00842', '2025-06-22', 50000),
('RT00843', '2025-02-26', 0),
('RT00844', '2025-04-05', 0),
('RT00845', '2025-05-21', 100000),
('RT00846', '2024-10-21', 0),
('RT00847', '2024-03-24', 150000),
('RT00848', '2024-11-28', 150000),
('RT00849', '2024-10-23', 200000),
('RT00850', '2025-10-08', 50000),
('RT00851', '2025-07-07', 0),
('RT00852', '2024-06-09', 0),
('RT00853', '2024-04-13', 200000),
('RT00854', '2024-11-01', 0),
('RT00855', '2024-02-16', 0),
('RT00856', '2025-05-28', 0),
('RT00857', '2024-10-22', 0),
('RT00858', '2025-07-11', 150000),
('RT00859', '2024-05-23', 0),
('RT00860', '2024-09-16', 200000),
('RT00861', '2025-05-30', 150000),
('RT00862', '2024-02-04', 0),
('RT00863', '2025-01-20', 0),
('RT00864', '2025-09-05', 0),
('RT00865', '2025-04-11', 0),
('RT00866', '2025-05-28', 50000),
('RT00867', '2025-11-27', 50000),
('RT00868', '2025-02-08', 150000),
('RT00869', '2024-11-30', 0),
('RT00870', '2024-12-15', 0),
('RT00871', '2025-08-01', 0),
('RT00872', '2024-10-11', 0),
('RT00873', '2025-12-04', 50000),
('RT00874', '2025-05-17', 150000),
('RT00875', '2025-05-04', 0),
('RT00876', '2024-03-03', 0),
('RT00877', '2024-12-20', 150000),
('RT00878', '2024-02-07', 0),
('RT00879', '2025-03-04', 0),
('RT00880', '2024-03-13', 200000),
('RT00881', '2025-04-14', 0),
('RT00882', '2024-03-20', 0),
('RT00883', '2025-08-12', 0),
('RT00884', '2025-10-29', 0),
('RT00885', '2025-03-07', 200000),
('RT00886', '2024-12-18', 0),
('RT00887', '2025-05-23', 150000),
('RT00888', '2025-11-21', 100000),
('RT00889', '2024-07-24', 150000),
('RT00890', '2024-06-30', 0),
('RT00891', '2024-01-28', 50000),
('RT00892', '2024-02-03', 0),
('RT00893', '2024-12-10', 0),
('RT00894', '2024-07-31', 0),
('RT00895', '2025-12-23', 150000),
('RT00896', '2025-07-11', 200000),
('RT00897', '2025-06-22', 50000),
('RT00898', '2025-06-01', 0),
('RT00899', '2024-10-13', 100000),
('RT00900', '2024-12-28', 50000),
('RT00901', '2024-12-02', 0),
('RT00902', '2025-09-05', 100000),
('RT00903', '2024-05-06', 0),
('RT00904', '2024-01-09', 0),
('RT00905', '2024-03-25', 0),
('RT00906', '2024-07-26', 150000),
('RT00907', '2025-12-08', 50000),
('RT00908', '2025-11-29', 0),
('RT00909', '2024-09-20', 0),
('RT00910', '2024-09-04', 0),
('RT00911', '2024-08-11', 100000),
('RT00912', '2025-02-13', 0),
('RT00913', '2025-01-31', 200000),
('RT00914', '2024-07-24', 0),
('RT00915', '2024-07-31', 0),
('RT00916', '2024-08-12', 0),
('RT00917', '2025-10-13', 100000),
('RT00918', '2024-12-15', 0),
('RT00919', '2025-10-21', 50000),
('RT00920', '2024-07-09', 50000),
('RT00921', '2024-07-03', 0),
('RT00922', '2025-11-17', 0),
('RT00923', '2024-09-17', 0),
('RT00924', '2025-01-26', 0),
('RT00925', '2024-12-12', 150000),
('RT00926', '2025-07-03', 0),
('RT00927', '2024-09-05', 0),
('RT00928', '2025-07-23', 0),
('RT00929', '2025-09-16', 0),
('RT00930', '2025-05-24', 0),
('RT00931', '2024-11-13', 0),
('RT00932', '2025-12-25', 150000),
('RT00933', '2025-07-08', 0),
('RT00934', '2024-03-26', 100000),
('RT00935', '2025-09-30', 0),
('RT00936', '2025-01-17', 0),
('RT00937', '2024-01-25', 150000),
('RT00938', '2024-03-01', 150000),
('RT00939', '2025-01-29', 0),
('RT00940', '2024-10-07', 0),
('RT00941', '2025-01-07', 0),
('RT00942', '2025-10-09', 0),
('RT00943', '2025-11-23', 100000),
('RT00944', '2024-03-25', 150000),
('RT00945', '2025-07-28', 200000),
('RT00946', '2024-02-06', 0),
('RT00947', '2025-04-02', 0),
('RT00948', '2024-09-06', 0),
('RT00949', '2025-09-28', 100000),
('RT00950', '2025-09-27', 150000),
('RT00951', '2025-04-05', 50000),
('RT00952', '2025-02-26', 0),
('RT00953', '2024-09-29', 200000),
('RT00954', '2024-11-11', 100000),
('RT00955', '2024-06-25', 0),
('RT00956', '2024-07-22', 0),
('RT00957', '2024-09-24', 0),
('RT00958', '2025-06-01', 50000),
('RT00959', '2025-03-27', 0),
('RT00960', '2025-07-02', 100000),
('RT00961', '2025-03-14', 200000),
('RT00962', '2025-10-19', 50000),
('RT00963', '2025-01-29', 100000),
('RT00964', '2025-11-14', 100000),
('RT00965', '2025-02-14', 0),
('RT00966', '2024-05-14', 0),
('RT00967', '2025-10-08', 0),
('RT00968', '2025-04-06', 0),
('RT00969', '2025-04-07', 0),
('RT00970', '2025-08-04', 0),
('RT00971', '2025-07-13', 50000),
('RT00972', '2025-06-13', 50000),
('RT00973', '2025-03-19', 0),
('RT00974', '2025-11-13', 150000),
('RT00975', '2025-11-07', 0),
('RT00976', '2025-01-04', 0),
('RT00977', '2025-10-05', 200000),
('RT00978', '2024-07-03', 50000),
('RT00979', '2025-02-08', 0),
('RT00980', '2025-10-17', 0),
('RT00981', '2024-10-20', 0),
('RT00982', '2025-12-22', 0),
('RT00983', '2025-06-10', 0),
('RT00984', '2025-06-14', 0),
('RT00985', '2025-05-06', 0),
('RT00986', '2025-04-07', 0),
('RT00987', '2024-11-28', 0),
('RT00988', '2025-09-09', 50000),
('RT00989', '2025-01-03', 0),
('RT00990', '2025-11-26', 50000),
('RT00991', '2025-09-09', 0),
('RT00992', '2025-11-06', 0),
('RT00993', '2025-09-20', 0),
('RT00994', '2025-08-31', 200000),
('RT00995', '2025-03-06', 100000),
('RT00996', '2025-11-04', 200000),
('RT00997', '2025-09-01', 200000),
('RT00998', '2024-12-02', 200000),
('RT00999', '2024-08-31', 50000),
('RT01000', '2025-02-24', 50000);
