INSERT INTO Orders (order_id, order_price, order_date, return_date, duration_rent, customer_id, employee_id, payment_id, return_id, car_id) VALUES
('O00223', 200000, '2025-09-08', '2025-09-10', 2, 'CS01712', 'EP010', 'PM00223', 'RT00223', 'C100'),
('O00224', 1500000, '2025-10-13', '2025-10-14', 1, 'CS07944', 'EP010', 'PM00224', 'RT00224', 'C037'),
('O00225', 200000, '2024-08-13', '2024-08-18', 5, 'CS03736', 'EP009', 'PM00225', 'RT00225', 'C075'),
('O00226', 900000, '2024-07-20', '2024-07-22', 2, 'CS07966', 'EP001', 'PM00226', 'RT00226', 'C083'),
('O00227', 700000, '2024-07-22', '2024-07-27', 5, 'CS03829', 'EP004', 'PM00227', 'RT00227', 'C071'),
('O00228', 900000, '2024-11-10', '2024-11-16', 6, 'CS09642', 'EP002', 'PM00228', 'RT00228', 'C032'),
('O00229', 700000, '2025-06-17', '2025-06-24', 7, 'CS02310', 'EP003', 'PM00229', 'RT00229', 'C023'),
('O00230', 350000, '2025-08-11', '2025-08-17', 6, 'CS09100', 'EP001', 'PM00230', 'RT00230', 'C085'),
('O00231', 400000, '2024-07-25', '2024-07-30', 5, 'CS03344', 'EP010', 'PM00231', 'RT00231', 'C021'),
('O00232', 350000, '2025-10-04', '2025-10-05', 1, 'CS08958', 'EP010', 'PM00232', 'RT00232', 'C022'),
('O00233', 1500000, '2025-01-20', '2025-01-26', 6, 'CS01109', 'EP006', 'PM00233', 'RT00233', 'C073'),
('O00234', 500000, '2025-09-21', '2025-09-27', 6, 'CS06450', 'EP006', 'PM00234', 'RT00234', 'C063'),
('O00235', 500000, '2025-03-29', '2025-03-31', 2, 'CS04184', 'EP004', 'PM00235', 'RT00235', 'C041'),
('O00236', 700000, '2024-03-30', '2024-04-06', 7, 'CS01575', 'EP005', 'PM00236', 'RT00236', 'C076'),
('O00237', 400000, '2024-06-05', '2024-06-12', 7, 'CS07502', 'EP006', 'PM00237', 'RT00237', 'C004'),
('O00238', 2000000, '2025-10-06', '2025-10-12', 6, 'CS06942', 'EP010', 'PM00238', 'RT00238', 'C078'),
('O00239', 2000000, '2024-05-08', '2024-05-15', 7, 'CS04331', 'EP003', 'PM00239', 'RT00239', 'C100'),
('O00240', 1500000, '2025-12-13', '2025-12-16', 3, 'CS06606', 'EP006', 'PM00240', 'RT00240', 'C022'),
('O00241', 200000, '2024-02-07', '2024-02-12', 5, 'CS09611', 'EP007', 'PM00241', 'RT00241', 'C066'),
('O00242', 700000, '2024-05-25', '2024-05-26', 1, 'CS04599', 'EP002', 'PM00242', 'RT00242', 'C032'),
('O00243', 500000, '2025-05-13', '2025-05-15', 2, 'CS09844', 'EP010', 'PM00243', 'RT00243', 'C087'),
('O00244', 700000, '2025-12-07', '2025-12-11', 4, 'CS06059', 'EP009', 'PM00244', 'RT00244', 'C035'),
('O00245', 900000, '2025-12-11', '2025-12-15', 4, 'CS03021', 'EP003', 'PM00245', 'RT00245', 'C017'),
('O00246', 350000, '2025-04-07', '2025-04-11', 4, 'CS00939', 'EP007', 'PM00246', 'RT00246', 'C096'),
('O00247', 900000, '2024-09-02', '2024-09-05', 3, 'CS09448', 'EP006', 'PM00247', 'RT00247', 'C063'),
('O00248', 1500000, '2025-05-11', '2025-05-18', 7, 'CS05706', 'EP006', 'PM00248', 'RT00248', 'C007'),
('O00249', 400000, '2024-05-16', '2024-05-18', 2, 'CS00613', 'EP010', 'PM00249', 'RT00249', 'C006'),
('O00250', 900000, '2025-06-19', '2025-06-22', 3, 'CS02397', 'EP006', 'PM00250', 'RT00250', 'C026'),
('O00251', 2000000, '2024-07-25', '2024-07-28', 3, 'CS01189', 'EP010', 'PM00251', 'RT00251', 'C033'),
('O00252', 2000000, '2024-08-01', '2024-08-02', 1, 'CS06884', 'EP007', 'PM00252', 'RT00252', 'C097'),
('O00253', 1750000, '2024-08-14', '2024-08-21', 7, 'CS04919', 'EP005', 'PM00253', 'RT00253', 'C007'),
('O00254', 2000000, '2024-01-23', '2024-01-26', 3, 'CS02927', 'EP010', 'PM00254', 'RT00254', 'C063'),
('O00255', 350000, '2024-03-28', '2024-03-29', 1, 'CS08332', 'EP002', 'PM00255', 'RT00255', 'C088'),
('O00256', 2000000, '2024-07-31', '2024-08-06', 6, 'CS03112', 'EP010', 'PM00256', 'RT00256', 'C052'),
('O00257', 700000, '2025-08-19', '2025-08-24', 5, 'CS07166', 'EP003', 'PM00257', 'RT00257', 'C050'),
('O00258', 500000, '2024-09-11', '2024-09-16', 5, 'CS04414', 'EP007', 'PM00258', 'RT00258', 'C014'),
('O00259', 900000, '2025-05-30', '2025-06-02', 3, 'CS08083', 'EP007', 'PM00259', 'RT00259', 'C039'),
('O00260', 400000, '2025-10-16', '2025-10-22', 6, 'CS07306', 'EP008', 'PM00260', 'RT00260', 'C066'),
('O00261', 1200000, '2025-08-24', '2025-08-25', 1, 'CS05860', 'EP010', 'PM00261', 'RT00261', 'C065'),
('O00262', 400000, '2024-10-04', '2024-10-11', 7, 'CS00784', 'EP008', 'PM00262', 'RT00262', 'C010'),
('O00263', 350000, '2024-04-15', '2024-04-16', 1, 'CS04924', 'EP003', 'PM00263', 'RT00263', 'C003'),
('O00264', 700000, '2025-10-10', '2025-10-15', 5, 'CS06854', 'EP007', 'PM00264', 'RT00264', 'C094'),
('O00265', 500000, '2024-01-09', '2024-01-11', 2, 'CS01625', 'EP007', 'PM00265', 'RT00265', 'C016'),
('O00266', 1200000, '2024-04-14', '2024-04-21', 7, 'CS02450', 'EP003', 'PM00266', 'RT00266', 'C002'),
('O00267', 400000, '2025-09-14', '2025-09-20', 6, 'CS02647', 'EP002', 'PM00267', 'RT00267', 'C100'),
('O00268', 200000, '2025-04-29', '2025-05-05', 6, 'CS06623', 'EP005', 'PM00268', 'RT00268', 'C015'),
('O00269', 400000, '2025-06-03', '2025-06-09', 6, 'CS08745', 'EP006', 'PM00269', 'RT00269', 'C054'),
('O00270', 400000, '2025-03-16', '2025-03-17', 1, 'CS01527', 'EP002', 'PM00270', 'RT00270', 'C079'),
('O00271', 700000, '2025-12-26', '2026-01-01', 6, 'CS03740', 'EP008', 'PM00271', 'RT00271', 'C055'),
('O00272', 1750000, '2025-07-21', '2025-07-25', 4, 'CS04802', 'EP002', 'PM00272', 'RT00272', 'C078'),
('O00273', 500000, '2025-08-28', '2025-08-29', 1, 'CS00963', 'EP009', 'PM00273', 'RT00273', 'C007'),
('O00274', 400000, '2025-10-05', '2025-10-07', 2, 'CS09345', 'EP008', 'PM00274', 'RT00274', 'C008'),
('O00275', 400000, '2025-10-19', '2025-10-25', 6, 'CS07693', 'EP008', 'PM00275', 'RT00275', 'C013'),
('O00276', 400000, '2025-04-03', '2025-04-07', 4, 'CS07647', 'EP007', 'PM00276', 'RT00276', 'C055'),
('O00277', 1200000, '2024-12-01', '2024-12-08', 7, 'CS02394', 'EP004', 'PM00277', 'RT00277', 'C086'),
('O00278', 1500000, '2024-04-01', '2024-04-06', 5, 'CS05842', 'EP001', 'PM00278', 'RT00278', 'C095'),
('O00279', 2000000, '2024-11-10', '2024-11-15', 5, 'CS05091', 'EP010', 'PM00279', 'RT00279', 'C021'),
('O00280', 1200000, '2024-01-28', '2024-02-03', 6, 'CS00918', 'EP008', 'PM00280', 'RT00280', 'C075'),
('O00281', 700000, '2025-04-09', '2025-04-15', 6, 'CS08342', 'EP002', 'PM00281', 'RT00281', 'C098'),
('O00282', 200000, '2024-10-09', '2024-10-12', 3, 'CS01676', 'EP005', 'PM00282', 'RT00282', 'C022'),
('O00283', 1500000, '2024-11-25', '2024-11-28', 3, 'CS01421', 'EP001', 'PM00283', 'RT00283', 'C011'),
('O00284', 700000, '2025-07-03', '2025-07-04', 1, 'CS08408', 'EP005', 'PM00284', 'RT00284', 'C003'),
('O00285', 700000, '2025-07-02', '2025-07-08', 6, 'CS03251', 'EP003', 'PM00285', 'RT00285', 'C024'),
('O00286', 350000, '2025-12-25', '2025-12-31', 6, 'CS06810', 'EP008', 'PM00286', 'RT00286', 'C037'),
('O00287', 1500000, '2025-12-01', '2025-12-02', 1, 'CS09880', 'EP009', 'PM00287', 'RT00287', 'C099'),
('O00288', 200000, '2024-01-30', '2024-02-03', 4, 'CS02704', 'EP002', 'PM00288', 'RT00288', 'C034'),
('O00289', 350000, '2025-02-12', '2025-02-18', 6, 'CS06044', 'EP007', 'PM00289', 'RT00289', 'C022'),
('O00290', 1750000, '2025-01-09', '2025-01-13', 4, 'CS08555', 'EP009', 'PM00290', 'RT00290', 'C073'),
('O00291', 2000000, '2025-07-06', '2025-07-09', 3, 'CS08633', 'EP007', 'PM00291', 'RT00291', 'C038'),
('O00292', 350000, '2024-04-04', '2024-04-06', 2, 'CS06497', 'EP001', 'PM00292', 'RT00292', 'C028'),
('O00293', 350000, '2025-07-31', '2025-08-01', 1, 'CS06519', 'EP005', 'PM00293', 'RT00293', 'C046'),
('O00294', 200000, '2025-07-09', '2025-07-14', 5, 'CS05689', 'EP002', 'PM00294', 'RT00294', 'C036'),
('O00295', 400000, '2024-06-24', '2024-06-25', 1, 'CS08685', 'EP007', 'PM00295', 'RT00295', 'C059'),
('O00296', 900000, '2025-07-16', '2025-07-22', 6, 'CS06509', 'EP008', 'PM00296', 'RT00296', 'C034'),
('O00297', 1500000, '2025-09-06', '2025-09-10', 4, 'CS00153', 'EP009', 'PM00297', 'RT00297', 'C090'),
('O00298', 700000, '2025-11-24', '2025-11-28', 4, 'CS03673', 'EP009', 'PM00298', 'RT00298', 'C012'),
('O00299', 200000, '2024-11-07', '2024-11-13', 6, 'CS08576', 'EP005', 'PM00299', 'RT00299', 'C008'),
('O00300', 2000000, '2025-08-07', '2025-08-08', 1, 'CS06631', 'EP001', 'PM00300', 'RT00300', 'C008'),
('O00301', 200000, '2025-09-24', '2025-09-28', 4, 'CS02598', 'EP010', 'PM00301', 'RT00301', 'C007'),
('O00302', 1200000, '2024-05-19', '2024-05-24', 5, 'CS06809', 'EP003', 'PM00302', 'RT00302', 'C021'),
('O00303', 2000000, '2025-05-20', '2025-05-27', 7, 'CS00029', 'EP010', 'PM00303', 'RT00303', 'C066'),
('O00304', 2000000, '2024-12-10', '2024-12-11', 1, 'CS03307', 'EP003', 'PM00304', 'RT00304', 'C071'),
('O00305', 900000, '2024-01-23', '2024-01-27', 4, 'CS08706', 'EP003', 'PM00305', 'RT00305', 'C065'),
('O00306', 2000000, '2024-08-23', '2024-08-29', 6, 'CS06733', 'EP002', 'PM00306', 'RT00306', 'C027'),
('O00307', 350000, '2025-09-18', '2025-09-20', 2, 'CS08385', 'EP003', 'PM00307', 'RT00307', 'C005'),
('O00308', 1500000, '2025-05-30', '2025-06-05', 6, 'CS03432', 'EP003', 'PM00308', 'RT00308', 'C006'),
('O00309', 1750000, '2024-09-13', '2024-09-18', 5, 'CS01435', 'EP010', 'PM00309', 'RT00309', 'C052'),
('O00310', 1750000, '2024-12-15', '2024-12-16', 1, 'CS02864', 'EP005', 'PM00310', 'RT00310', 'C064'),
('O00311', 2000000, '2024-01-11', '2024-01-18', 7, 'CS07424', 'EP004', 'PM00311', 'RT00311', 'C091'),
('O00312', 700000, '2025-11-27', '2025-12-02', 5, 'CS07426', 'EP003', 'PM00312', 'RT00312', 'C043'),
('O00313', 1750000, '2025-03-20', '2025-03-26', 6, 'CS01078', 'EP001', 'PM00313', 'RT00313', 'C046'),
('O00314', 500000, '2024-01-25', '2024-01-28', 3, 'CS01533', 'EP002', 'PM00314', 'RT00314', 'C072'),
('O00315', 1500000, '2024-12-27', '2024-12-31', 4, 'CS02524', 'EP009', 'PM00315', 'RT00315', 'C068'),
('O00316', 700000, '2024-10-18', '2024-10-24', 6, 'CS01302', 'EP007', 'PM00316', 'RT00316', 'C051'),
('O00317', 1750000, '2025-04-12', '2025-04-19', 7, 'CS01751', 'EP010', 'PM00317', 'RT00317', 'C042'),
('O00318', 1500000, '2025-06-28', '2025-06-29', 1, 'CS06598', 'EP002', 'PM00318', 'RT00318', 'C019'),
('O00319', 2000000, '2024-05-16', '2024-05-17', 1, 'CS04123', 'EP009', 'PM00319', 'RT00319', 'C089'),
('O00320', 1500000, '2025-07-02', '2025-07-03', 1, 'CS08783', 'EP001', 'PM00320', 'RT00320', 'C027'),
('O00321', 2000000, '2024-03-28', '2024-03-30', 2, 'CS05187', 'EP002', 'PM00321', 'RT00321', 'C016'),
('O00322', 400000, '2025-11-01', '2025-11-07', 6, 'CS09174', 'EP005', 'PM00322', 'RT00322', 'C079'),
('O00323', 1500000, '2025-10-28', '2025-11-03', 6, 'CS00025', 'EP010', 'PM00323', 'RT00323', 'C043'),
('O00324', 500000, '2024-03-31', '2024-04-06', 6, 'CS05625', 'EP008', 'PM00324', 'RT00324', 'C069'),
('O00325', 1750000, '2024-05-12', '2024-05-13', 1, 'CS09777', 'EP007', 'PM00325', 'RT00325', 'C012'),
('O00326', 500000, '2025-07-16', '2025-07-18', 2, 'CS01185', 'EP008', 'PM00326', 'RT00326', 'C009'),
('O00327', 2000000, '2024-02-13', '2024-02-17', 4, 'CS08820', 'EP007', 'PM00327', 'RT00327', 'C026'),
('O00328', 400000, '2024-12-22', '2024-12-29', 7, 'CS03440', 'EP005', 'PM00328', 'RT00328', 'C055'),
('O00329', 500000, '2025-11-04', '2025-11-09', 5, 'CS02491', 'EP008', 'PM00329', 'RT00329', 'C098'),
('O00330', 1750000, '2025-06-15', '2025-06-20', 5, 'CS04799', 'EP001', 'PM00330', 'RT00330', 'C013'),
('O00331', 2000000, '2025-07-26', '2025-08-01', 6, 'CS03189', 'EP010', 'PM00331', 'RT00331', 'C082'),
('O00332', 700000, '2025-10-21', '2025-10-28', 7, 'CS00325', 'EP004', 'PM00332', 'RT00332', 'C062'),
('O00333', 200000, '2025-06-12', '2025-06-15', 3, 'CS06415', 'EP010', 'PM00333', 'RT00333', 'C057'),
('O00334', 200000, '2025-03-15', '2025-03-20', 5, 'CS05387', 'EP007', 'PM00334', 'RT00334', 'C024'),
('O00335', 350000, '2024-11-28', '2024-11-30', 2, 'CS01834', 'EP003', 'PM00335', 'RT00335', 'C066'),
('O00336', 1750000, '2025-12-10', '2025-12-11', 1, 'CS02822', 'EP003', 'PM00336', 'RT00336', 'C087'),
('O00337', 1500000, '2025-06-26', '2025-07-03', 7, 'CS02644', 'EP003', 'PM00337', 'RT00337', 'C035'),
('O00338', 400000, '2024-09-26', '2024-09-30', 4, 'CS04554', 'EP005', 'PM00338', 'RT00338', 'C049'),
('O00339', 900000, '2025-06-23', '2025-06-25', 2, 'CS05036', 'EP004', 'PM00339', 'RT00339', 'C040'),
('O00340', 700000, '2025-10-25', '2025-10-28', 3, 'CS01119', 'EP009', 'PM00340', 'RT00340', 'C079'),
('O00341', 2000000, '2024-06-27', '2024-06-29', 2, 'CS09576', 'EP009', 'PM00341', 'RT00341', 'C012'),
('O00342', 900000, '2025-03-10', '2025-03-12', 2, 'CS00025', 'EP005', 'PM00342', 'RT00342', 'C069'),
('O00343', 1750000, '2024-11-25', '2024-11-27', 2, 'CS06968', 'EP005', 'PM00343', 'RT00343', 'C079'),
('O00344', 1750000, '2024-12-13', '2024-12-17', 4, 'CS02628', 'EP010', 'PM00344', 'RT00344', 'C095'),
('O00345', 1200000, '2025-08-18', '2025-08-19', 1, 'CS08710', 'EP009', 'PM00345', 'RT00345', 'C077'),
('O00346', 1200000, '2024-02-01', '2024-02-03', 2, 'CS02498', 'EP003', 'PM00346', 'RT00346', 'C090'),
('O00347', 900000, '2024-06-11', '2024-06-15', 4, 'CS00039', 'EP009', 'PM00347', 'RT00347', 'C023'),
('O00348', 1500000, '2024-09-22', '2024-09-26', 4, 'CS05631', 'EP008', 'PM00348', 'RT00348', 'C053'),
('O00349', 1750000, '2025-08-13', '2025-08-17', 4, 'CS08149', 'EP006', 'PM00349', 'RT00349', 'C013'),
('O00350', 350000, '2025-09-06', '2025-09-07', 1, 'CS02521', 'EP008', 'PM00350', 'RT00350', 'C074'),
('O00351', 1500000, '2025-07-21', '2025-07-23', 2, 'CS04617', 'EP008', 'PM00351', 'RT00351', 'C083'),
('O00352', 350000, '2024-10-30', '2024-11-06', 7, 'CS05096', 'EP006', 'PM00352', 'RT00352', 'C025'),
('O00353', 400000, '2025-08-01', '2025-08-07', 6, 'CS04292', 'EP003', 'PM00353', 'RT00353', 'C036'),
('O00354', 500000, '2025-01-18', '2025-01-22', 4, 'CS02388', 'EP007', 'PM00354', 'RT00354', 'C010'),
('O00355', 500000, '2025-04-01', '2025-04-02', 1, 'CS00489', 'EP002', 'PM00355', 'RT00355', 'C070'),
('O00356', 700000, '2025-05-06', '2025-05-12', 6, 'CS03370', 'EP007', 'PM00356', 'RT00356', 'C024'),
('O00357', 1200000, '2024-11-03', '2024-11-06', 3, 'CS06779', 'EP008', 'PM00357', 'RT00357', 'C044'),
('O00358', 700000, '2024-02-12', '2024-02-19', 7, 'CS02660', 'EP005', 'PM00358', 'RT00358', 'C027'),
('O00359', 500000, '2025-11-18', '2025-11-24', 6, 'CS03338', 'EP010', 'PM00359', 'RT00359', 'C042'),
('O00360', 700000, '2025-11-19', '2025-11-23', 4, 'CS05268', 'EP007', 'PM00360', 'RT00360', 'C068'),
('O00361', 400000, '2025-10-11', '2025-10-16', 5, 'CS01863', 'EP007', 'PM00361', 'RT00361', 'C022'),
('O00362', 700000, '2024-10-17', '2024-10-21', 4, 'CS08584', 'EP010', 'PM00362', 'RT00362', 'C067'),
('O00363', 2000000, '2025-08-06', '2025-08-12', 6, 'CS09066', 'EP008', 'PM00363', 'RT00363', 'C004'),
('O00364', 2000000, '2024-04-09', '2024-04-15', 6, 'CS04747', 'EP006', 'PM00364', 'RT00364', 'C093'),
('O00365', 1500000, '2024-11-15', '2024-11-19', 4, 'CS00890', 'EP008', 'PM00365', 'RT00365', 'C043'),
('O00366', 1200000, '2024-07-14', '2024-07-19', 5, 'CS04121', 'EP003', 'PM00366', 'RT00366', 'C086'),
('O00367', 900000, '2025-03-24', '2025-03-30', 6, 'CS09223', 'EP002', 'PM00367', 'RT00367', 'C023'),
('O00368', 500000, '2025-07-10', '2025-07-13', 3, 'CS08655', 'EP002', 'PM00368', 'RT00368', 'C063'),
('O00369', 200000, '2025-01-31', '2025-02-01', 1, 'CS02424', 'EP005', 'PM00369', 'RT00369', 'C015'),
('O00370', 900000, '2024-06-18', '2024-06-25', 7, 'CS02432', 'EP009', 'PM00370', 'RT00370', 'C045'),
('O00371', 1500000, '2024-06-14', '2024-06-15', 1, 'CS02976', 'EP007', 'PM00371', 'RT00371', 'C095'),
('O00372', 900000, '2025-02-13', '2025-02-14', 1, 'CS04992', 'EP004', 'PM00372', 'RT00372', 'C039'),
('O00373', 1200000, '2025-08-20', '2025-08-26', 6, 'CS08451', 'EP006', 'PM00373', 'RT00373', 'C027'),
('O00374', 1200000, '2024-02-10', '2024-02-15', 5, 'CS03902', 'EP007', 'PM00374', 'RT00374', 'C017'),
('O00375', 700000, '2024-01-16', '2024-01-20', 4, 'CS03524', 'EP009', 'PM00375', 'RT00375', 'C007'),
('O00376', 900000, '2024-07-26', '2024-07-29', 3, 'CS05033', 'EP004', 'PM00376', 'RT00376', 'C005'),
('O00377', 700000, '2024-12-08', '2024-12-09', 1, 'CS09063', 'EP009', 'PM00377', 'RT00377', 'C029'),
('O00378', 200000, '2024-02-10', '2024-02-17', 7, 'CS08850', 'EP008', 'PM00378', 'RT00378', 'C037'),
('O00379', 200000, '2024-02-24', '2024-02-27', 3, 'CS06532', 'EP007', 'PM00379', 'RT00379', 'C036'),
('O00380', 700000, '2024-10-20', '2024-10-25', 5, 'CS03789', 'EP004', 'PM00380', 'RT00380', 'C029'),
('O00381', 350000, '2024-11-18', '2024-11-22', 4, 'CS09005', 'EP007', 'PM00381', 'RT00381', 'C019'),
('O00382', 350000, '2025-12-04', '2025-12-10', 6, 'CS01035', 'EP008', 'PM00382', 'RT00382', 'C008'),
('O00383', 1750000, '2025-11-21', '2025-11-25', 4, 'CS08033', 'EP006', 'PM00383', 'RT00383', 'C091'),
('O00384', 500000, '2024-12-31', '2025-01-03', 3, 'CS06518', 'EP003', 'PM00384', 'RT00384', 'C078'),
('O00385', 2000000, '2024-05-17', '2024-05-23', 6, 'CS01148', 'EP007', 'PM00385', 'RT00385', 'C020'),
('O00386', 400000, '2025-02-24', '2025-03-01', 5, 'CS05768', 'EP008', 'PM00386', 'RT00386', 'C040'),
('O00387', 2000000, '2025-05-14', '2025-05-18', 4, 'CS06482', 'EP007', 'PM00387', 'RT00387', 'C078'),
('O00388', 350000, '2025-05-28', '2025-06-02', 5, 'CS09240', 'EP002', 'PM00388', 'RT00388', 'C024'),
('O00389', 1750000, '2024-02-05', '2024-02-11', 6, 'CS00564', 'EP009', 'PM00389', 'RT00389', 'C020'),
('O00390', 500000, '2024-08-15', '2024-08-21', 6, 'CS05090', 'EP004', 'PM00390', 'RT00390', 'C043'),
('O00391', 1500000, '2025-01-04', '2025-01-10', 6, 'CS03304', 'EP010', 'PM00391', 'RT00391', 'C036'),
('O00392', 1750000, '2025-07-03', '2025-07-07', 4, 'CS05720', 'EP003', 'PM00392', 'RT00392', 'C036'),
('O00393', 1200000, '2024-03-03', '2024-03-08', 5, 'CS09753', 'EP010', 'PM00393', 'RT00393', 'C002'),
('O00394', 1200000, '2025-05-30', '2025-06-03', 4, 'CS02700', 'EP006', 'PM00394', 'RT00394', 'C049'),
('O00395', 200000, '2024-01-18', '2024-01-21', 3, 'CS06006', 'EP008', 'PM00395', 'RT00395', 'C020'),
('O00396', 2000000, '2024-12-18', '2024-12-22', 4, 'CS09815', 'EP001', 'PM00396', 'RT00396', 'C072'),
('O00397', 1750000, '2025-11-01', '2025-11-08', 7, 'CS03872', 'EP010', 'PM00397', 'RT00397', 'C058'),
('O00398', 1500000, '2025-07-25', '2025-07-28', 3, 'CS00954', 'EP008', 'PM00398', 'RT00398', 'C088'),
('O00399', 1500000, '2025-04-17', '2025-04-18', 1, 'CS00958', 'EP008', 'PM00399', 'RT00399', 'C040'),
('O00400', 1200000, '2024-10-01', '2024-10-06', 5, 'CS03643', 'EP003', 'PM00400', 'RT00400', 'C015'),
('O00401', 500000, '2024-08-23', '2024-08-25', 2, 'CS02886', 'EP005', 'PM00401', 'RT00401', 'C059'),
('O00402', 350000, '2024-02-21', '2024-02-24', 3, 'CS04231', 'EP008', 'PM00402', 'RT00402', 'C005'),
('O00403', 1200000, '2025-09-10', '2025-09-17', 7, 'CS09554', 'EP006', 'PM00403', 'RT00403', 'C041'),
('O00404', 1500000, '2025-04-11', '2025-04-15', 4, 'CS06062', 'EP003', 'PM00404', 'RT00404', 'C071'),
('O00405', 500000, '2024-11-18', '2024-11-23', 5, 'CS00770', 'EP002', 'PM00405', 'RT00405', 'C038'),
('O00406', 200000, '2024-03-25', '2024-04-01', 7, 'CS02384', 'EP006', 'PM00406', 'RT00406', 'C001'),
('O00407', 350000, '2025-08-26', '2025-08-31', 5, 'CS01250', 'EP007', 'PM00407', 'RT00407', 'C098'),
('O00408', 1750000, '2024-02-26', '2024-02-27', 1, 'CS09086', 'EP009', 'PM00408', 'RT00408', 'C001'),
('O00409', 200000, '2025-11-28', '2025-12-04', 6, 'CS02126', 'EP007', 'PM00409', 'RT00409', 'C099'),
('O00410', 500000, '2024-05-26', '2024-05-28', 2, 'CS01460', 'EP009', 'PM00410', 'RT00410', 'C040'),
('O00411', 1200000, '2025-12-08', '2025-12-12', 4, 'CS06364', 'EP002', 'PM00411', 'RT00411', 'C029'),
('O00412', 700000, '2025-05-15', '2025-05-20', 5, 'CS06961', 'EP009', 'PM00412', 'RT00412', 'C024'),
('O00413', 1200000, '2024-10-11', '2024-10-17', 6, 'CS00050', 'EP007', 'PM00413', 'RT00413', 'C089'),
('O00414', 500000, '2025-04-14', '2025-04-15', 1, 'CS07502', 'EP003', 'PM00414', 'RT00414', 'C021'),
('O00415', 1200000, '2025-02-08', '2025-02-11', 3, 'CS09032', 'EP009', 'PM00415', 'RT00415', 'C065'),
('O00416', 350000, '2024-09-20', '2024-09-23', 3, 'CS07901', 'EP004', 'PM00416', 'RT00416', 'C036'),
('O00417', 1750000, '2024-01-20', '2024-01-23', 3, 'CS00827', 'EP003', 'PM00417', 'RT00417', 'C043'),
('O00418', 200000, '2025-06-17', '2025-06-19', 2, 'CS01764', 'EP007', 'PM00418', 'RT00418', 'C058'),
('O00419', 350000, '2025-02-04', '2025-02-06', 2, 'CS02138', 'EP006', 'PM00419', 'RT00419', 'C097'),
('O00420', 1500000, '2024-09-11', '2024-09-16', 5, 'CS08355', 'EP009', 'PM00420', 'RT00420', 'C092'),
('O00421', 200000, '2024-10-25', '2024-10-27', 2, 'CS05983', 'EP008', 'PM00421', 'RT00421', 'C081'),
('O00422', 350000, '2024-01-15', '2024-01-17', 2, 'CS04861', 'EP003', 'PM00422', 'RT00422', 'C072'),
('O00423', 500000, '2024-12-27', '2024-12-28', 1, 'CS07002', 'EP004', 'PM00423', 'RT00423', 'C013'),
('O00424', 900000, '2025-01-14', '2025-01-15', 1, 'CS04568', 'EP002', 'PM00424', 'RT00424', 'C077'),
('O00425', 200000, '2024-04-04', '2024-04-05', 1, 'CS02727', 'EP007', 'PM00425', 'RT00425', 'C031'),
('O00426', 400000, '2025-02-11', '2025-02-15', 4, 'CS08458', 'EP007', 'PM00426', 'RT00426', 'C018'),
('O00427', 1750000, '2024-11-16', '2024-11-23', 7, 'CS09073', 'EP006', 'PM00427', 'RT00427', 'C098'),
('O00428', 500000, '2025-03-13', '2025-03-15', 2, 'CS07428', 'EP002', 'PM00428', 'RT00428', 'C075'),
('O00429', 400000, '2024-06-15', '2024-06-16', 1, 'CS04732', 'EP010', 'PM00429', 'RT00429', 'C012'),
('O00430', 350000, '2025-11-23', '2025-11-29', 6, 'CS04144', 'EP009', 'PM00430', 'RT00430', 'C038'),
('O00431', 2000000, '2025-05-21', '2025-05-22', 1, 'CS09069', 'EP002', 'PM00431', 'RT00431', 'C038'),
('O00432', 400000, '2025-10-18', '2025-10-21', 3, 'CS01986', 'EP010', 'PM00432', 'RT00432', 'C025'),
('O00433', 500000, '2024-12-21', '2024-12-26', 5, 'CS03564', 'EP007', 'PM00433', 'RT00433', 'C060'),
('O00434', 400000, '2024-09-12', '2024-09-13', 1, 'CS03315', 'EP005', 'PM00434', 'RT00434', 'C063'),
('O00435', 400000, '2025-10-25', '2025-10-29', 4, 'CS06556', 'EP007', 'PM00435', 'RT00435', 'C014'),
('O00436', 400000, '2025-12-10', '2025-12-12', 2, 'CS00057', 'EP002', 'PM00436', 'RT00436', 'C001'),
('O00437', 700000, '2024-10-13', '2024-10-15', 2, 'CS08186', 'EP009', 'PM00437', 'RT00437', 'C020'),
('O00438', 400000, '2025-07-28', '2025-08-01', 4, 'CS08768', 'EP006', 'PM00438', 'RT00438', 'C095'),
('O00439', 400000, '2025-11-12', '2025-11-14', 2, 'CS03873', 'EP001', 'PM00439', 'RT00439', 'C042'),
('O00440', 350000, '2025-10-27', '2025-10-29', 2, 'CS06698', 'EP010', 'PM00440', 'RT00440', 'C018'),
('O00441', 700000, '2024-07-23', '2024-07-26', 3, 'CS03890', 'EP002', 'PM00441', 'RT00441', 'C005'),
('O00442', 350000, '2025-03-01', '2025-03-05', 4, 'CS02432', 'EP010', 'PM00442', 'RT00442', 'C001'),
('O00443', 500000, '2025-01-13', '2025-01-20', 7, 'CS00602', 'EP005', 'PM00443', 'RT00443', 'C065'),
('O00444', 2000000, '2024-06-16', '2024-06-21', 5, 'CS09097', 'EP008', 'PM00444', 'RT00444', 'C009'),
('O00445', 200000, '2024-01-03', '2024-01-10', 7, 'CS05341', 'EP001', 'PM00445', 'RT00445', 'C091'),
