INSERT INTO Payment (payment_id, payment_price, payment_status, payment_date) VALUES
('PM00554', 500000, 'paid', '2025-07-17'),
('PM00555', 700000, 'paid', '2025-11-22'),
('PM00556', 350000, 'paid', '2025-02-26'),
('PM00557', 500000, 'paid', '2025-05-03'),
('PM00558', 2000000, 'paid', '2025-09-25'),
('PM00559', 1750000, 'paid', '2024-05-07'),
('PM00560', 900000, 'paid', '2025-03-04'),
('PM00561', 1200000, 'paid', '2025-10-23'),
('PM00562', 1500000, 'paid', '2025-12-22'),
('PM00563', 700000, 'paid', '2024-04-19'),
('PM00564', 200000, 'unpaid', NULL),
('PM00565', 400000, 'unpaid', NULL),
('PM00566', 2000000, 'paid', '2024-08-25'),
('PM00567', 1750000, 'paid', '2025-10-30'),
('PM00568', 200000, 'paid', '2024-11-13'),
('PM00569', 1750000, 'paid', '2025-01-02'),
('PM00570', 2000000, 'paid', '2024-08-23'),
('PM00571', 1500000, 'paid', '2025-12-21'),
('PM00572', 1200000, 'paid', '2024-03-03'),
('PM00573', 1750000, 'paid', '2024-08-28'),
('PM00574', 1500000, 'paid', '2024-11-27'),
('PM00575', 1750000, 'paid', '2024-04-24'),
('PM00576', 500000, 'paid', '2024-01-07'),
('PM00577', 400000, 'paid', '2025-10-10'),
('PM00578', 2000000, 'paid', '2025-03-10'),
('PM00579', 1200000, 'paid', '2024-01-16'),
('PM00580', 1500000, 'paid', '2024-01-29'),
('PM00581', 700000, 'unpaid', NULL),
('PM00582', 1750000, 'paid', '2025-06-11'),
('PM00583', 1750000, 'unpaid', NULL),
('PM00584', 400000, 'paid', '2025-08-02'),
('PM00585', 1750000, 'paid', '2025-07-03'),
('PM00586', 1200000, 'paid', '2024-07-19'),
('PM00587', 900000, 'paid', '2024-10-29'),
('PM00588', 400000, 'paid', '2025-04-17'),
('PM00589', 400000, 'paid', '2025-12-11'),
('PM00590', 350000, 'unpaid', NULL),
('PM00591', 400000, 'paid', '2025-07-27'),
('PM00592', 1750000, 'paid', '2024-02-22'),
('PM00593', 900000, 'paid', '2025-01-06'),
('PM00594', 200000, 'paid', '2025-02-17'),
('PM00595', 200000, 'paid', '2024-10-16'),
('PM00596', 200000, 'paid', '2025-03-08'),
('PM00597', 900000, 'paid', '2025-10-23'),
('PM00598', 350000, 'paid', '2024-05-03'),
('PM00599', 1500000, 'paid', '2024-12-15'),
('PM00600', 700000, 'paid', '2024-04-30'),
('PM00601', 1750000, 'paid', '2025-04-02'),
('PM00602', 350000, 'paid', '2024-10-17'),
('PM00603', 1200000, 'paid', '2024-04-09'),
('PM00604', 350000, 'paid', '2024-12-23'),
('PM00605', 2000000, 'paid', '2025-05-19'),
('PM00606', 2000000, 'paid', '2024-07-29'),
('PM00607', 350000, 'paid', '2025-01-02'),
('PM00608', 1750000, 'paid', '2024-07-03'),
('PM00609', 400000, 'paid', '2024-12-26'),
('PM00610', 400000, 'unpaid', NULL),
('PM00611', 500000, 'paid', '2024-08-10'),
('PM00612', 1500000, 'paid', '2025-06-10'),
('PM00613', 1750000, 'paid', '2024-11-03'),
('PM00614', 500000, 'paid', '2024-03-21'),
('PM00615', 400000, 'paid', '2025-05-12'),
('PM00616', 900000, 'paid', '2024-04-18'),
('PM00617', 700000, 'paid', '2025-02-03'),
('PM00618', 900000, 'paid', '2025-03-07'),
('PM00619', 900000, 'paid', '2025-06-30'),
('PM00620', 700000, 'paid', '2025-09-24'),
('PM00621', 900000, 'unpaid', NULL),
('PM00622', 500000, 'paid', '2024-05-29'),
('PM00623', 200000, 'paid', '2024-01-28'),
('PM00624', 2000000, 'paid', '2024-09-29'),
('PM00625', 400000, 'paid', '2025-10-15'),
('PM00626', 1200000, 'paid', '2025-11-09'),
('PM00627', 350000, 'paid', '2024-02-12'),
('PM00628', 1500000, 'paid', '2024-12-03'),
('PM00629', 1200000, 'unpaid', NULL),
('PM00630', 1750000, 'paid', '2025-02-12'),
('PM00631', 1200000, 'paid', '2024-08-04'),
('PM00632', 1500000, 'paid', '2025-10-16'),
('PM00633', 1200000, 'paid', '2024-01-10'),
('PM00634', 350000, 'paid', '2025-08-16'),
('PM00635', 500000, 'paid', '2024-08-17'),
('PM00636', 1200000, 'paid', '2025-02-11'),
('PM00637', 1750000, 'paid', '2024-03-21'),
('PM00638', 500000, 'paid', '2025-11-23'),
('PM00639', 400000, 'paid', '2024-11-22'),
('PM00640', 700000, 'paid', '2025-01-29'),
('PM00641', 500000, 'paid', '2024-04-18'),
('PM00642', 1750000, 'paid', '2024-05-28'),
('PM00643', 400000, 'paid', '2025-01-28'),
('PM00644', 2000000, 'paid', '2024-04-05'),
('PM00645', 1200000, 'unpaid', NULL),
('PM00646', 1200000, 'paid', '2025-10-08'),
('PM00647', 400000, 'paid', '2025-03-31'),
('PM00648', 1500000, 'unpaid', NULL),
('PM00649', 500000, 'paid', '2024-01-20'),
('PM00650', 200000, 'paid', '2024-08-10'),
('PM00651', 350000, 'paid', '2025-05-07'),
('PM00652', 900000, 'paid', '2025-06-23'),
('PM00653', 700000, 'paid', '2025-08-30'),
('PM00654', 200000, 'paid', '2024-01-09'),
('PM00655', 900000, 'unpaid', NULL),
('PM00656', 900000, 'paid', '2024-10-03'),
('PM00657', 900000, 'paid', '2024-08-10'),
('PM00658', 500000, 'paid', '2025-04-15'),
('PM00659', 1750000, 'paid', '2025-09-26'),
('PM00660', 1500000, 'paid', '2025-05-18'),
('PM00661', 200000, 'paid', '2025-04-28'),
('PM00662', 2000000, 'paid', '2025-07-13'),
('PM00663', 350000, 'paid', '2024-08-28'),
('PM00664', 1500000, 'paid', '2024-10-18'),
('PM00665', 1200000, 'paid', '2025-04-12'),
('PM00666', 2000000, 'paid', '2024-11-25'),
('PM00667', 1750000, 'paid', '2024-02-01'),
('PM00668', 1750000, 'paid', '2025-11-13'),
('PM00669', 700000, 'paid', '2025-07-17'),
('PM00670', 1200000, 'paid', '2025-06-30'),
('PM00671', 2000000, 'paid', '2025-02-27'),
('PM00672', 1500000, 'paid', '2024-02-02'),
('PM00673', 700000, 'paid', '2024-08-05'),
('PM00674', 400000, 'paid', '2024-01-25'),
('PM00675', 2000000, 'paid', '2024-06-28'),
('PM00676', 700000, 'paid', '2025-02-26'),
('PM00677', 2000000, 'paid', '2024-04-28'),
('PM00678', 900000, 'paid', '2024-11-29'),
('PM00679', 400000, 'paid', '2025-01-23'),
('PM00680', 1500000, 'paid', '2025-05-06'),
('PM00681', 2000000, 'paid', '2024-04-28'),
('PM00682', 350000, 'paid', '2024-08-14'),
('PM00683', 350000, 'paid', '2024-04-15'),
('PM00684', 700000, 'paid', '2024-07-08'),
('PM00685', 700000, 'paid', '2025-01-01'),
('PM00686', 1750000, 'paid', '2025-10-24'),
('PM00687', 1200000, 'paid', '2024-03-17'),
('PM00688', 350000, 'paid', '2025-02-09'),
('PM00689', 200000, 'paid', '2025-01-09'),
('PM00690', 350000, 'paid', '2025-09-14'),
('PM00691', 1750000, 'paid', '2024-11-30'),
('PM00692', 1500000, 'paid', '2025-09-28'),
('PM00693', 2000000, 'paid', '2024-10-10'),
('PM00694', 500000, 'paid', '2025-08-03'),
('PM00695', 500000, 'paid', '2025-08-13'),
('PM00696', 700000, 'paid', '2025-01-18'),
('PM00697', 200000, 'paid', '2024-04-23'),
('PM00698', 700000, 'paid', '2024-08-31'),
('PM00699', 400000, 'paid', '2025-07-22'),
('PM00700', 1200000, 'paid', '2024-04-25'),
('PM00701', 500000, 'paid', '2024-11-05'),
('PM00702', 900000, 'paid', '2024-02-05'),
('PM00703', 1750000, 'unpaid', NULL),
('PM00704', 400000, 'unpaid', NULL),
('PM00705', 400000, 'paid', '2025-03-13'),
('PM00706', 1200000, 'paid', '2025-12-25'),
('PM00707', 1200000, 'paid', '2025-08-08'),
('PM00708', 700000, 'paid', '2025-09-27'),
('PM00709', 1750000, 'paid', '2025-04-24'),
('PM00710', 1750000, 'paid', '2025-09-17'),
('PM00711', 1750000, 'paid', '2025-12-15'),
('PM00712', 350000, 'paid', '2025-06-04'),
('PM00713', 350000, 'paid', '2024-11-12'),
('PM00714', 350000, 'paid', '2025-12-15'),
('PM00715', 1200000, 'paid', '2025-07-22'),
('PM00716', 200000, 'paid', '2024-08-03'),
('PM00717', 900000, 'paid', '2024-10-22'),
('PM00718', 350000, 'paid', '2025-04-14'),
('PM00719', 200000, 'paid', '2024-05-23'),
('PM00720', 350000, 'paid', '2025-06-10'),
('PM00721', 350000, 'paid', '2024-02-09'),
('PM00722', 900000, 'paid', '2024-07-06'),
('PM00723', 500000, 'paid', '2024-09-27'),
('PM00724', 700000, 'paid', '2025-03-31'),
('PM00725', 1200000, 'paid', '2024-02-10'),
('PM00726', 700000, 'paid', '2024-05-07'),
('PM00727', 900000, 'paid', '2024-10-07'),
('PM00728', 200000, 'paid', '2025-05-05'),
('PM00729', 200000, 'paid', '2024-11-08'),
('PM00730', 1750000, 'paid', '2025-08-17'),
('PM00731', 2000000, 'paid', '2025-10-05'),
('PM00732', 400000, 'paid', '2025-08-17'),
('PM00733', 500000, 'paid', '2025-11-14'),
('PM00734', 700000, 'paid', '2025-02-09'),
('PM00735', 1750000, 'paid', '2024-08-09'),
('PM00736', 400000, 'unpaid', NULL),
('PM00737', 500000, 'paid', '2025-04-11'),
('PM00738', 900000, 'paid', '2025-01-02'),
('PM00739', 500000, 'unpaid', NULL),
('PM00740', 400000, 'paid', '2024-01-08'),
('PM00741', 350000, 'paid', '2024-09-12'),
('PM00742', 200000, 'paid', '2025-08-02'),
('PM00743', 400000, 'paid', '2025-07-20'),
('PM00744', 1200000, 'paid', '2025-06-04'),
('PM00745', 2000000, 'unpaid', NULL),
('PM00746', 1200000, 'paid', '2024-06-28'),
('PM00747', 2000000, 'paid', '2025-03-01'),
('PM00748', 900000, 'paid', '2025-01-21'),
('PM00749', 1200000, 'paid', '2024-12-07'),
('PM00750', 1200000, 'paid', '2025-11-12'),
('PM00751', 900000, 'paid', '2024-04-30'),
('PM00752', 500000, 'paid', '2025-12-04'),
('PM00753', 700000, 'paid', '2025-09-21'),
('PM00754', 200000, 'paid', '2025-09-16'),
('PM00755', 900000, 'paid', '2025-05-08'),
('PM00756', 700000, 'unpaid', NULL),
('PM00757', 400000, 'paid', '2025-01-05'),
('PM00758', 1200000, 'paid', '2025-08-22'),
('PM00759', 1750000, 'paid', '2024-08-26'),
('PM00760', 500000, 'paid', '2024-04-21'),
('PM00761', 200000, 'paid', '2024-03-13'),
('PM00762', 350000, 'paid', '2025-07-01'),
('PM00763', 350000, 'paid', '2024-12-11'),
('PM00764', 1500000, 'paid', '2024-05-13'),
('PM00765', 700000, 'paid', '2024-09-03'),
('PM00766', 350000, 'paid', '2024-10-02'),
('PM00767', 1750000, 'paid', '2024-07-07'),
('PM00768', 700000, 'paid', '2025-10-02'),
('PM00769', 400000, 'paid', '2024-07-08'),
('PM00770', 1500000, 'paid', '2024-05-17'),
('PM00771', 900000, 'unpaid', NULL),
('PM00772', 900000, 'paid', '2025-12-11'),
('PM00773', 1500000, 'paid', '2025-10-22'),
('PM00774', 2000000, 'paid', '2025-02-27'),
('PM00775', 350000, 'paid', '2024-09-10'),
('PM00776', 400000, 'paid', '2025-09-05'),
('PM00777', 900000, 'paid', '2024-03-31'),
('PM00778', 900000, 'paid', '2025-04-22'),
('PM00779', 350000, 'paid', '2024-11-14'),
('PM00780', 700000, 'unpaid', NULL),
('PM00781', 700000, 'paid', '2024-10-08'),
('PM00782', 1200000, 'paid', '2026-01-04'),
('PM00783', 700000, 'paid', '2024-02-18'),
('PM00784', 200000, 'paid', '2024-04-08'),
('PM00785', 700000, 'paid', '2025-12-29'),
('PM00786', 350000, 'paid', '2024-08-11'),
('PM00787', 1750000, 'paid', '2024-06-28'),
('PM00788', 700000, 'paid', '2024-08-20'),
('PM00789', 1750000, 'paid', '2024-08-17'),
('PM00790', 700000, 'paid', '2024-09-12'),
('PM00791', 700000, 'paid', '2024-01-21'),
('PM00792', 1200000, 'paid', '2024-04-13'),
('PM00793', 1500000, 'paid', '2025-10-05'),
('PM00794', 350000, 'paid', '2025-11-13'),
('PM00795', 900000, 'paid', '2025-01-18'),
('PM00796', 1500000, 'paid', '2025-06-29'),
('PM00797', 200000, 'paid', '2025-05-30'),
('PM00798', 700000, 'paid', '2025-08-16'),
('PM00799', 200000, 'paid', '2024-04-19'),
('PM00800', 1500000, 'paid', '2024-10-07'),
('PM00801', 1750000, 'unpaid', NULL),
('PM00802', 400000, 'paid', '2025-07-30'),
('PM00803', 500000, 'paid', '2025-04-03'),
('PM00804', 900000, 'paid', '2024-01-29'),
('PM00805', 1500000, 'paid', '2025-05-03'),
('PM00806', 1200000, 'paid', '2024-02-28'),
('PM00807', 700000, 'paid', '2025-09-25'),
('PM00808', 400000, 'paid', '2024-10-29'),
('PM00809', 400000, 'paid', '2024-08-29'),
('PM00810', 200000, 'paid', '2025-08-22'),
('PM00811', 1750000, 'paid', '2025-10-22'),
('PM00812', 200000, 'paid', '2024-09-29'),
('PM00813', 200000, 'paid', '2024-01-25'),
('PM00814', 1500000, 'paid', '2025-11-24'),
('PM00815', 1750000, 'paid', '2024-03-22'),
('PM00816', 500000, 'paid', '2025-09-28'),
('PM00817', 2000000, 'paid', '2024-10-21'),
('PM00818', 900000, 'paid', '2024-11-05'),
('PM00819', 1750000, 'paid', '2024-06-09'),
('PM00820', 400000, 'paid', '2024-09-29'),
('PM00821', 400000, 'paid', '2024-09-14'),
('PM00822', 900000, 'paid', '2025-07-20'),
('PM00823', 200000, 'paid', '2025-12-29'),
('PM00824', 700000, 'paid', '2025-11-05'),
('PM00825', 2000000, 'paid', '2024-07-12'),
('PM00826', 500000, 'paid', '2025-08-31'),
('PM00827', 1500000, 'paid', '2025-01-07'),
('PM00828', 700000, 'unpaid', NULL),
('PM00829', 900000, 'paid', '2025-12-15'),
('PM00830', 350000, 'paid', '2025-05-25'),
('PM00831', 700000, 'paid', '2025-02-15'),
('PM00832', 200000, 'paid', '2025-07-16'),
('PM00833', 1200000, 'unpaid', NULL),
('PM00834', 200000, 'paid', '2025-07-04'),
('PM00835', 1750000, 'paid', '2025-11-24'),
('PM00836', 900000, 'paid', '2024-09-25'),
('PM00837', 200000, 'unpaid', NULL),
('PM00838', 1500000, 'unpaid', NULL),
('PM00839', 1500000, 'paid', '2025-08-27'),
('PM00840', 900000, 'paid', '2024-09-09'),
('PM00841', 1200000, 'paid', '2025-05-19'),
('PM00842', 1500000, 'paid', '2025-06-19'),
('PM00843', 2000000, 'paid', '2025-02-23'),
('PM00844', 1200000, 'paid', '2025-04-04'),
('PM00845', 200000, 'paid', '2025-05-23'),
('PM00846', 500000, 'paid', '2024-10-21'),
('PM00847', 900000, 'paid', '2024-03-21'),
('PM00848', 1200000, 'paid', '2024-11-26'),
('PM00849', 900000, 'paid', '2024-10-20'),
('PM00850', 200000, 'paid', '2025-10-09'),
('PM00851', 400000, 'unpaid', NULL),
('PM00852', 1200000, 'unpaid', NULL),
('PM00853', 2000000, 'paid', '2024-04-04'),
('PM00854', 1500000, 'paid', '2024-10-30'),
('PM00855', 2000000, 'paid', '2024-02-16'),
('PM00856', 1750000, 'paid', '2025-05-26'),
('PM00857', 1200000, 'paid', '2024-10-20'),
('PM00858', 500000, 'paid', '2025-07-09'),
('PM00859', 900000, 'unpaid', NULL),
('PM00860', 500000, 'unpaid', NULL),
('PM00861', 500000, 'paid', '2025-05-23'),
('PM00862', 200000, 'paid', '2024-02-03'),
('PM00863', 350000, 'paid', '2025-01-22'),
('PM00864', 1200000, 'unpaid', NULL),
('PM00865', 350000, 'paid', '2025-04-09'),
('PM00866', 500000, 'paid', '2025-05-26'),
('PM00867', 350000, 'paid', '2025-11-20'),
('PM00868', 1500000, 'unpaid', NULL),
('PM00869', 1750000, 'paid', '2024-11-30'),
('PM00870', 700000, 'paid', '2024-12-13'),
('PM00871', 400000, 'paid', '2025-07-31'),
('PM00872', 350000, 'paid', '2024-10-07'),
('PM00873', 2000000, 'paid', '2025-12-03'),
('PM00874', 350000, 'paid', '2025-05-10'),
('PM00875', 200000, 'paid', '2025-05-04'),
('PM00876', 1500000, 'unpaid', NULL),
('PM00877', 1500000, 'paid', '2024-12-17'),
('PM00878', 1750000, 'paid', '2024-02-09'),
('PM00879', 350000, 'paid', '2025-03-06'),
('PM00880', 1200000, 'paid', '2024-03-08'),
('PM00881', 1200000, 'paid', '2025-04-16'),
('PM00882', 2000000, 'paid', '2024-03-19'),
('PM00883', 700000, 'paid', '2025-08-13'),
('PM00884', 2000000, 'paid', '2025-10-31'),
('PM00885', 700000, 'paid', '2025-03-08'),
('PM00886', 400000, 'paid', '2024-12-17'),
('PM00887', 700000, 'paid', '2025-05-23'),
('PM00888', 400000, 'unpaid', NULL),
('PM00889', 200000, 'paid', '2024-07-21'),
('PM00890', 400000, 'paid', '2024-07-03'),
('PM00891', 1500000, 'paid', '2024-01-29'),
('PM00892', 500000, 'paid', '2024-01-28'),
('PM00893', 500000, 'paid', '2024-12-10'),
('PM00894', 2000000, 'paid', '2024-07-29'),
('PM00895', 1200000, 'paid', '2025-12-21'),
('PM00896', 500000, 'paid', '2025-07-08'),
('PM00897', 1500000, 'paid', '2025-06-23'),
('PM00898', 200000, 'paid', '2025-06-02'),
('PM00899', 500000, 'paid', '2024-10-05'),
('PM00900', 1200000, 'paid', '2024-12-29'),
('PM00901', 400000, 'paid', '2024-12-02'),
('PM00902', 500000, 'paid', '2025-09-05'),
('PM00903', 1500000, 'paid', '2024-05-09'),
('PM00904', 400000, 'paid', '2024-01-07'),
('PM00905', 1200000, 'paid', '2024-03-24'),
('PM00906', 1200000, 'paid', '2024-07-27'),
('PM00907', 350000, 'paid', '2025-12-07'),
('PM00908', 700000, 'paid', '2025-11-29'),
('PM00909', 1750000, 'paid', '2024-09-18'),
('PM00910', 1200000, 'paid', '2024-09-05'),
('PM00911', 400000, 'paid', '2024-08-05'),
('PM00912', 2000000, 'paid', '2025-02-07'),
('PM00913', 2000000, 'paid', '2025-01-21'),
('PM00914', 1500000, 'paid', '2024-07-25'),
('PM00915', 900000, 'paid', '2024-07-31'),
('PM00916', 400000, 'paid', '2024-08-11'),
('PM00917', 1750000, 'paid', '2025-10-11'),
('PM00918', 350000, 'paid', '2024-12-15'),
('PM00919', 1200000, 'paid', '2025-10-19'),
('PM00920', 900000, 'paid', '2024-07-06'),
('PM00921', 1750000, 'paid', '2024-06-30'),
('PM00922', 200000, 'paid', '2025-11-15'),
('PM00923', 1500000, 'paid', '2024-09-20'),
('PM00924', 350000, 'paid', '2025-01-26'),
('PM00925', 700000, 'paid', '2024-12-10'),
('PM00926', 700000, 'paid', '2025-07-04'),
('PM00927', 200000, 'paid', '2024-09-05'),
('PM00928', 400000, 'paid', '2025-07-23'),
('PM00929', 350000, 'paid', '2025-09-18'),
('PM00930', 1750000, 'paid', '2025-05-20'),
('PM00931', 1750000, 'paid', '2024-11-15'),
('PM00932', 1750000, 'paid', '2025-12-21'),
('PM00933', 400000, 'paid', '2025-07-09'),
('PM00934', 1200000, 'paid', '2024-03-24'),
('PM00935', 1200000, 'paid', '2025-10-02'),
('PM00936', 1200000, 'unpaid', NULL),
('PM00937', 1200000, 'paid', '2024-01-23'),
('PM00938', 500000, 'paid', '2024-02-28'),
('PM00939', 900000, 'paid', '2025-01-31'),
('PM00940', 400000, 'paid', '2024-10-07'),
('PM00941', 1750000, 'paid', '2025-01-10'),
('PM00942', 350000, 'paid', '2025-10-07'),
('PM00943', 200000, 'unpaid', NULL),
('PM00944', 350000, 'paid', '2024-03-27'),
('PM00945', 1750000, 'paid', '2025-07-27'),
('PM00946', 1200000, 'unpaid', NULL),
('PM00947', 700000, 'paid', '2025-03-27'),
('PM00948', 900000, 'paid', '2024-09-04'),
('PM00949', 700000, 'paid', '2025-09-28'),
('PM00950', 900000, 'paid', '2025-09-29'),
('PM00951', 1500000, 'paid', '2025-04-05'),
('PM00952', 400000, 'paid', '2025-02-24'),
('PM00953', 500000, 'paid', '2024-09-27'),
('PM00954', 900000, 'paid', '2024-11-08'),
('PM00955', 350000, 'paid', '2024-06-24'),
('PM00956', 200000, 'paid', '2024-07-22'),
('PM00957', 400000, 'paid', '2024-09-22'),
('PM00958', 700000, 'unpaid', NULL),
('PM00959', 200000, 'paid', '2025-03-25'),
('PM00960', 200000, 'paid', '2025-06-24'),
('PM00961', 200000, 'unpaid', NULL),
('PM00962', 2000000, 'paid', '2025-10-17'),
('PM00963', 200000, 'paid', '2025-01-30'),
('PM00964', 500000, 'paid', '2025-11-05'),
('PM00965', 500000, 'unpaid', NULL),
('PM00966', 900000, 'paid', '2024-05-15'),
('PM00967', 1500000, 'paid', '2025-10-04'),
('PM00968', 500000, 'paid', '2025-04-05'),
('PM00969', 500000, 'paid', '2025-03-31'),
('PM00970', 350000, 'paid', '2025-08-05'),
('PM00971', 200000, 'paid', '2025-07-05'),
('PM00972', 700000, 'paid', '2025-06-10'),
('PM00973', 900000, 'paid', '2025-03-14'),
('PM00974', 1200000, 'paid', '2025-11-10'),
('PM00975', 700000, 'paid', '2025-11-09'),
('PM00976', 400000, 'unpaid', NULL),
('PM00977', 500000, 'paid', '2025-10-02'),
('PM00978', 900000, 'unpaid', NULL),
('PM00979', 200000, 'paid', '2025-02-11'),
('PM00980', 1200000, 'paid', '2025-10-20'),
('PM00981', 700000, 'paid', '2024-10-23'),
('PM00982', 200000, 'paid', '2025-12-20'),
('PM00983', 900000, 'paid', '2025-06-07'),
('PM00984', 1500000, 'paid', '2025-06-12'),
('PM00985', 350000, 'paid', '2025-05-05'),
('PM00986', 1750000, 'paid', '2025-04-04'),
('PM00987', 500000, 'paid', '2024-11-28'),
('PM00988', 1500000, 'paid', '2025-09-05'),
('PM00989', 350000, 'paid', '2025-01-06'),
('PM00990', 400000, 'paid', '2025-11-22'),
('PM00991', 700000, 'paid', '2025-09-09'),
('PM00992', 700000, 'paid', '2025-11-02'),
('PM00993', 350000, 'paid', '2025-09-15'),
('PM00994', 2000000, 'paid', '2025-08-25'),
('PM00995', 900000, 'paid', '2025-03-03'),
('PM00996', 1750000, 'paid', '2025-11-03'),
('PM00997', 700000, 'paid', '2025-08-24'),
('PM00998', 1500000, 'paid', '2024-11-23'),
('PM00999', 900000, 'paid', '2024-08-26'),
('PM01000', 500000, 'paid', '2025-02-17');
