INSERT INTO Penalty (penalty_id, penalty_price, payment_id, type_of_violation, return_id) VALUES
('PN00367', 100000, 'PM00555', 'Terlambat mengembalikan', 'RT00555'),
('PN00368', 50000, 'PM00192', 'Kerusakan ringan', 'RT00192'),
('PN00369', 50000, 'PM00090', 'Terlambat mengembalikan', 'RT00090'),
('PN00370', 300000, 'PM00687', 'Kerusakan ringan', 'RT00687'),
('PN00371', 100000, 'PM00944', 'Kerusakan ringan', 'RT00944'),
('PN00372', 150000, 'PM00822', 'Terlambat mengembalikan', 'RT00822'),
('PN00373', 300000, 'PM00173', 'Terlambat mengembalikan', 'RT00173'),
('PN00374', 50000, 'PM00758', 'Kerusakan ringan', 'RT00758'),
('PN00375', 150000, 'PM00335', 'Kerusakan ringan', 'RT00335'),
('PN00376', 50000, 'PM00953', 'Terlambat mengembalikan', 'RT00953'),
('PN00377', 50000, 'PM00460', 'Kecelakaan', 'RT00460'),
('PN00378', 150000, 'PM00171', 'Kecelakaan', 'RT00171'),
('PN00379', 200000, 'PM00791', 'Terlambat mengembalikan', 'RT00791'),
('PN00380', 200000, 'PM00033', 'Kerusakan ringan', 'RT00033'),
('PN00381', 100000, 'PM00308', 'Terlambat mengembalikan', 'RT00308'),
('PN00382', 150000, 'PM00292', 'Kecelakaan', 'RT00292'),
('PN00383', 200000, 'PM00819', 'Terlambat mengembalikan', 'RT00819'),
('PN00384', 300000, 'PM00152', 'Terlambat mengembalikan', 'RT00152'),
('PN00385', 150000, 'PM00208', 'Kecelakaan', 'RT00208'),
('PN00386', 100000, 'PM00845', 'Kecelakaan', 'RT00845'),
('PN00387', 300000, 'PM00711', 'Terlambat mengembalikan', 'RT00711'),
('PN00388', 50000, 'PM00264', 'Kerusakan ringan', 'RT00264'),
('PN00389', 300000, 'PM00994', 'Terlambat mengembalikan', 'RT00994'),
('PN00390', 150000, 'PM00690', 'Kecelakaan', 'RT00690');
